customer_id,revenue,number_of_orders,recency_days,purchase,zip_code
1,737.75,19,93,0,22181
2,299.75,10,419,0,21117
3,74,1,724,0,20850
4,178,2,793,0,22032
5,552.4,15,68,1,8527
6,137,3,120,0,22124
7,138.9,3,892,0,21032
8,39,1,22,0,21210
9,249.9,5,19,0,20910
10,238.5,10,133,0,8057
11,371.3,13,28,0,21014
12,65,1,317,0,20879
13,510,15,51,0,19038
14,45,1,913,0,22310
15,12.5,1,502,0,8057
16,29.85,3,60,1,23229
17,88,2,320,0,8201
18,29,1,83,0,21234
19,88,3,260,0,21403
20,290,4,20,0,21131
21,95,1,611,0,22903
22,188,7,258,0,20171
23,98.85,4,50,0,20902
24,117,3,270,0,22302
25,271.9,3,182,1,8043
26,900.25,24,525,1,22192
27,266.9,5,212,0,22205
28,69,1,267,1,8724
29,860.65,14,24,0,8004
30,263,9,82,0,22203
31,25,1,40,0,21228
32,113.5,3,128,0,20852
33,44,1,704,0,22180
34,1249.5,18,127,1,20186
35,20,1,965,0,19087
36,19,1,265,0,20770
37,194,4,933,0,20882
38,103,2,257,0,8009
39,609,16,258,0,21784
40,56,1,32,0,21229
41,1468.45,22,66,1,21117
42,770.75,11,255,1,19046
43,186.35,7,246,0,20194
44,49,2,827,0,23113
45,49.5,1,242,0,8088
46,128,4,282,0,21204
47,97.95,3,646,0,19130
48,446.5,12,77,1,8055
49,218,5,264,0,8088
50,93,3,22,0,21228
51,64.4,5,419,0,21401
52,508,19,92,0,20171
53,49,1,264,0,8033
54,2649.95,61,45,0,8742
55,164,4,96,0,20007
56,55,2,113,1,8033
57,29,1,680,0,8016
58,36,1,688,0,22314
59,312.5,12,43,0,20187
60,40,1,757,0,21702
61,627.95,13,42,0,8690
62,3517.95,97,18,1,20124
63,196.65,8,632,0,22192
64,156.5,3,464,0,22101
65,49.5,1,658,0,21403
66,105,4,182,1,21012
67,667.5,8,706,0,22039
68,243.95,4,199,0,21209
69,35,1,390,0,22309
70,293,4,457,0,18940
71,577.6,16,207,1,21771
72,103.9,3,490,0,20852
73,322,10,269,1,19002
74,773.55,25,135,1,8361
75,184,5,259,0,22903
76,290,7,252,1,20152
77,3183.15,63,104,1,20186
78,63.5,2,925,0,20147
79,69,1,337,1,20007
80,1472.45,29,28,0,20817
81,65,2,291,0,19083
82,66,2,274,0,22043
83,549.45,8,262,0,21401
84,133,2,590,0,18901
85,1560,6,323,0,8204
86,2018.79,62,18,1,20715
87,708.35,19,67,0,8053
88,211.95,2,319,0,23185
89,612.45,12,260,0,21401
90,482.9,17,42,1,22031
91,422.65,14,60,0,22302
